FID,fiscal_year,sum,id,bioguideid,firstname,middlename,lastname,party,subcommittee,gid,start_date,end_date,statefp,cdfp,state,namelsad,cdsessn
cdspending.fid-66ae1d85_15766e6f35f_-2881,2016,1953754,12173,Y000033,Don,E.,Young,Republican,EW,284,2013-01-03,2015-01-03,02,00,AK,Congressional District (at Large),113
cdspending.fid-66ae1d85_15766e6f35f_-2880,2016,1953754,12173,Y000033,Don,E.,Young,Republican,AR,284,2013-01-03,2015-01-03,02,00,AK,Congressional District (at Large),113
